C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_19_507.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_19_507.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_19_507.jpg, 0, 1, 0, 24.44679
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_19_607.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_19_607.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_19_607.jpg, 0, 1, 0, 25.4082
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_19_711.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_19_711.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_19_711.jpg, 0, 1, 0, 26.5502
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_19_813.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_19_813.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_19_813.jpg, -0.2126379, 1, 0, 27.47001
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_19_916.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_19_916.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_19_916.jpg, -0.1665699, 1, 0, 28.33373
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_017.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_017.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_017.jpg, 0, 1, 0, 29.25319
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_123.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_123.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_123.jpg, 0, 1, 0, 30.16531
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_226.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_226.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_226.jpg, 0, 1, 0, 30.19048
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_330.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_330.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_330.jpg, 0, 1, 0, 30.19028
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_430.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_430.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_430.jpg, 0, 1, 0, 30.19036
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_534.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_534.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_534.jpg, -0.1186224, 1, 0, 30.18658
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_636.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_636.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_636.jpg, -0.0713016, 1, 0, 30.19069
C:\Users\NUrobot427\Desktop\Data\IMG\center_2020_02_26_06_09_20_741.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\left_2020_02_26_06_09_20_741.jpg, C:\Users\NUrobot427\Desktop\Data\IMG\right_2020_02_26_06_09_20_741.jpg, 0, 1, 0, 30.19011
